"","age","racem","ugloanr","actcap","actded","actmgt","actrd","actrdt","actres","acttch","bapbpr","bayr","chchg","chcon","chfam","chlay","chloc","chot","chpay","chret","chsch","ctzfor","dgrdg","dgryr","eddad","edmom","emrg","emsecdt","facadv","facben","facchal","facind","facloc","facresp","facsal","facsec","facsoc"
"1",33,"3","12","N","N","Y","N","N","N","N","1",2008,"L","L","L","L","L","L","L","L","L","L","2",2015,"2","1","09","11","1","1","2","2","2","3","1","1","2"
"2",31,"4","02","N","N","Y","N","N","N","N","1",2007,"L","L","L","L","L","L","L","L","L","L","2",2009,"5","5","03","21","1","1","2","2","1","2","1","1","2"
"3",32,"4","05","N","N","Y","N","Y","N","Y","2",2007,"L","L","L","L","L","L","L","L","L","L","2",2010,"2","2","03","12","2","1","1","2","1","2","1","1","1"
"4",35,"2","08","L","L","L","L","L","L","L","2",2003,"L","L","L","L","L","L","L","L","L","L","4",2008,"3","4","L","L","2","2","1","1","1","1","2","2","1"
"5",32,"4","02","N","N","Y","N","N","N","N","1",2005,"L","L","L","L","L","L","L","L","L","L","1",2005,"5","3","07","21","2","1","2","2","1","2","1","1","2"
"6",33,"3","07","N","N","Y","N","Y","N","Y","1",2006,"L","L","L","L","L","L","L","L","L","L","1",2006,"3","4","05","12","2","1","2","2","2","2","1","1","1"
"7",32,"4","02","N","Y","N","Y","Y","N","Y","1",2006,"L","L","L","L","L","L","L","L","L","L","2",2008,"4","5","01","12","1","1","2","2","1","2","2","1","1"
"8",32,"1","02","N","Y","N","Y","Y","N","N","1",2007,"L","L","L","L","L","L","L","L","L","L","2",2012,"2","2","01","21","2","2","2","2","2","2","2","2","2"
"9",33,"4","12","N","N","Y","N","N","N","N","2",2007,"L","L","L","L","L","L","L","L","L","L","1",2007,"7","3","01","21","2","2","2","2","2","2","2","2","2"
"10",33,"4","07","N","N","N","N","Y","N","Y","1",2006,"L","L","L","L","L","L","L","L","L","L","2",2008,"3","4","03","12","1","1","2","1","1","2","1","1","2"
"11",31,"4","05","N","Y","N","Y","Y","N","N","1",2008,"N","Y","N","N","N","N","Y","N","N","L","1",2008,"3","3","04","21","2","1","2","2","2","3","1","2","3"
"12",31,"4","12","Y","N","Y","N","N","N","N","2",2007,"Y","Y","N","N","Y","N","Y","N","N","L","1",2007,"3","2","01","21","1","1","2","3","2","3","1","2","4"
"13",33,"4","04","N","N","Y","N","N","N","N","2",2007,"N","Y","N","N","N","N","Y","N","N","L","1",2007,"2","3","02","21","1","1","2","2","1","2","1","1","2"
"14",32,"4","03","L","L","L","L","L","L","L","1",2006,"L","L","L","L","L","L","L","L","L","L","1",2006,"2","2","L","L","2","2","1","1","1","2","2","2","1"
"15",35,"1","02","L","L","L","L","L","L","L","L",2004,"L","L","L","L","L","L","L","L","L","2","2",2009,"7","4","L","L","1","1","1","2","3","1","1","2","1"
"16",32,"4","06","N","N","N","N","Y","N","Y","1",2007,"L","L","L","L","L","L","L","L","L","L","1",2007,"2","7","05","31","1","1","1","1","1","1","2","2","1"
"17",34,"4","02","N","N","N","N","N","N","N","1",2005,"L","L","L","L","L","L","L","L","L","L","2",2008,"7","4","07","31","1","1","2","2","2","2","1","1","2"
"18",32,"4","10","N","N","Y","N","N","N","N","1",2007,"N","N","N","N","N","N","Y","N","N","L","1",2007,"4","3","07","21","1","1","2","2","3","2","1","1","2"
"19",32,"4","02","N","N","Y","N","N","N","N","1",2005,"L","L","L","L","L","L","L","L","L","L","2",2010,"3","1","07","12","2","1","2","1","1","1","1","1","2"
"20",30,"3","09","N","N","N","Y","Y","Y","N","1",2008,"Y","N","N","N","N","N","Y","N","N","L","2",2013,"4","4","05","32","1","1","2","2","1","2","1","1","2"
"21",34,"4","04","N","N","Y","N","N","N","N","2",2005,"Y","Y","N","N","Y","N","Y","N","N","L","2",2013,"3","4","09","21","1","1","1","1","1","2","1","1","2"
"22",33,"4","02","N","N","Y","N","N","N","N","2",2005,"L","L","L","L","L","L","L","L","L","L","1",2005,"3","3","06","21","1","1","1","1","1","1","1","1","1"
"23",33,"4","02","L","L","L","L","L","L","L","1",2005,"L","L","L","L","L","L","L","L","L","L","1",2005,"2","2","L","L","2","1","2","2","1","2","1","2","1"
"24",33,"4","02","N","N","Y","N","N","N","N","1",2007,"L","L","L","L","L","L","L","L","L","L","2",2013,"4","4","08","21","1","1","1","1","1","1","1","1","1"
"25",29,"4","02","N","N","Y","Y","Y","Y","N","2",2009,"L","L","L","L","L","L","L","L","L","L","1",2009,"6","4","09","21","1","3","1","1","2","1","2","2","1"
"26",32,"3","03","N","N","Y","N","N","N","N","1",2006,"N","Y","N","N","N","N","Y","N","N","L","1",2006,"3","3","09","22","2","1","3","2","2","2","1","1","2"
"27",33,"1","04","N","N","N","N","Y","N","Y","2",2006,"N","N","N","Y","N","N","N","N","N","L","4",2010,"6","4","03","21","2","1","2","2","1","2","1","1","1"
